Geschlechtsschluessel,ArbAnteil,PersNr,TrfGr,ND Organisations Merkmal,Führungsebene,Teilzeitgrundschluessel,Ab- oder Anwesenheitsart
männlich,100,10001,A11,3. QE,,,Elternzeit
weiblich,70,10002,A7,1. QE,,Altersteilzeit,
männlich,100,10003,A16,4. QE,3.0,,
weiblich,60,10004,ANG F,2. QE,,Antragsteilzeit,
weiblich,30,10005,A12,1. QE,3.0,Familienpolitische Teilzeit,
weiblich,40,10006,E12,2. QE,,Vertragliche Teilzeit,
männlich,100,10007,E10,3. QE,,,
weiblich,40,10008,A9+AZ,3. QE,,Altersteilzeit,
männlich,100,10009,E9A,2. QE,,,
weiblich,20,10010,A12,2. QE,,Antragsteilzeit,Elternzeit
weiblich,100,10011,E9A,1. QE,1.0,,
männlich,100,10012,A10,4. QE,3.0,,
weiblich,100,10013,E2,1. QE,2.0,,Elternzeit
männlich,40,10014,E10,2. QE,1.0,Antragsteilzeit,
weiblich,100,10015,E10,1. QE,,,
weiblich,100,10016,E11,3. QE,,,
männlich,100,10017,E6,1. QE,,,
männlich,100,10018,E9A,2. QE,,,
männlich,100,10019,A4,1. QE,3.0,,
weiblich,90,10020,A9,3. QE,,Vertragliche Teilzeit,
weiblich,30,10021,E13,4. QE,,Antragsteilzeit,
weiblich,30,10022,A9,4. QE,,Altersteilzeit,
weiblich,100,10023,A13,2. QE,3.0,,
männlich,100,10024,E9B,3. QE,3.0,,
weiblich,80,10025,A11,4. QE,,Antragsteilzeit,
männlich,100,10026,E4,4. QE,,,
weiblich,70,10027,A6,4. QE,,Vertragliche Teilzeit,
weiblich,100,10028,ANG F,1. QE,,,
männlich,100,10029,E15,4. QE,,,
weiblich,60,10030,A15,4. QE,,Altersteilzeit,
weiblich,100,10031,E9B,1. QE,,,
weiblich,90,10032,E15,1. QE,,Familienpolitische Teilzeit,
männlich,100,10033,E14,2. QE,,,
weiblich,100,10034,E6,1. QE,,,
weiblich,70,10035,E14,2. QE,1.0,Vertragliche Teilzeit,
männlich,100,10036,A11,4. QE,,,
weiblich,50,10037,A14,3. QE,,Antragsteilzeit,
männlich,100,10038,ANG F,1. QE,1.0,,
weiblich,70,10039,A13,3. QE,,Altersteilzeit,
männlich,40,10040,E2,1. QE,,Vertragliche Teilzeit,
männlich,100,10041,E2,3. QE,2.0,,
männlich,100,10042,A14,4. QE,,,
männlich,90,10043,E12,3. QE,,Vertragliche Teilzeit,
männlich,100,10044,A8,4. QE,1.0,,
männlich,50,10045,E15,3. QE,,Altersteilzeit,
weiblich,100,10046,A9+AZ,2. QE,,,
weiblich,100,10047,E11,1. QE,,,
männlich,100,10048,B6,4. QE,,,
weiblich,100,10049,E11,2. QE,,,
weiblich,20,10050,E10,3. QE,,Vertragliche Teilzeit,Elternzeit
männlich,60,10051,E12,3. QE,,Altersteilzeit,
männlich,100,10052,E9A,3. QE,2.0,,
männlich,100,10053,A9,4. QE,3.0,,
weiblich,40,10054,ANG F,4. QE,3.0,Altersteilzeit,
männlich,100,10055,E5,1. QE,1.0,,
männlich,100,10056,A12,1. QE,,,
männlich,100,10057,E13,4. QE,,,
männlich,60,10058,E5,2. QE,3.0,Antragsteilzeit,
männlich,20,10059,A9+AZ,4. QE,,Vertragliche Teilzeit,
männlich,100,10060,A7,1. QE,3.0,,
männlich,100,10061,E10,4. QE,2.0,,
weiblich,70,10062,A7,1. QE,,Vertragliche Teilzeit,
männlich,100,10063,A9+AZ,3. QE,1.0,,
weiblich,100,10064,E6,4. QE,,,
männlich,100,10065,E13,1. QE,,,
weiblich,100,10066,PGRP,1. QE,,,
männlich,100,10067,A14,3. QE,,,
weiblich,100,10068,E10,4. QE,,,
weiblich,100,10069,E10,4. QE,2.0,,
weiblich,100,10070,A10,4. QE,,,
weiblich,100,10071,B3,1. QE,,,
weiblich,70,10072,R1,4. QE,1.0,Vertragliche Teilzeit,
männlich,100,10073,A12,2. QE,3.0,,
weiblich,100,10074,E4,3. QE,,,
weiblich,100,10075,A9,1. QE,,,Elternzeit
männlich,100,10076,A11,3. QE,,,
weiblich,100,10077,E8,3. QE,,,
weiblich,30,10078,E9B,3. QE,,Vertragliche Teilzeit,
männlich,70,10079,A4,2. QE,3.0,Vertragliche Teilzeit,
weiblich,100,10080,E11,3. QE,,,
weiblich,40,10081,A6,2. QE,,Vertragliche Teilzeit,
weiblich,50,10082,E5,1. QE,1.0,Altersteilzeit,
weiblich,100,10083,A6,1. QE,,,
männlich,100,10084,PGR4,3. QE,,,
weiblich,90,10085,A12,3. QE,,Familienpolitische Teilzeit,
männlich,70,10086,E9B,1. QE,,Altersteilzeit,
männlich,100,10087,A8,1. QE,2.0,,
männlich,100,10088,E11,4. QE,,,
weiblich,70,10089,B3,2. QE,,Familienpolitische Teilzeit,
weiblich,50,10090,E7,3. QE,,Antragsteilzeit,
weiblich,70,10091,E14,1. QE,,Vertragliche Teilzeit,
männlich,100,10092,A6,1. QE,,,
männlich,100,10093,R1,3. QE,,,
weiblich,30,10094,A7,3. QE,,Altersteilzeit,
weiblich,100,10095,E10,3. QE,2.0,,Elternzeit
weiblich,30,10096,E5,3. QE,1.0,Vertragliche Teilzeit,
weiblich,100,10097,A13,2. QE,,,
weiblich,60,10098,E4,4. QE,,Antragsteilzeit,
weiblich,80,10099,ANG F,4. QE,3.0,Vertragliche Teilzeit,
männlich,100,10100,E14,3. QE,1.0,,Elternzeit
weiblich,60,10101,B3,2. QE,2.0,Altersteilzeit,
männlich,30,10102,A15,1. QE,,Altersteilzeit,
männlich,20,10103,A4,4. QE,,Familienpolitische Teilzeit,
männlich,100,10104,E11,4. QE,,,
weiblich,100,10105,E7,2. QE,1.0,,
weiblich,100,10106,E12,4. QE,3.0,,
männlich,100,10107,E12,2. QE,,,
weiblich,100,10108,E9A,4. QE,,,
weiblich,30,10109,E10,1. QE,2.0,Familienpolitische Teilzeit,
weiblich,50,10110,B9,2. QE,2.0,Altersteilzeit,
männlich,80,10111,E13,4. QE,,Vertragliche Teilzeit,
weiblich,60,10112,A15,4. QE,1.0,Antragsteilzeit,
männlich,100,10113,E6,2. QE,,,Elternzeit
weiblich,20,10114,E5,1. QE,,Familienpolitische Teilzeit,
männlich,100,10115,E11,3. QE,,,
männlich,100,10116,B9,2. QE,,,
weiblich,100,10117,E11,2. QE,,,
weiblich,60,10118,B6,3. QE,,Altersteilzeit,
weiblich,100,10119,A7,3. QE,2.0,,
männlich,100,10120,A13,2. QE,,,
weiblich,100,10121,A15,4. QE,3.0,,
weiblich,30,10122,E9A,4. QE,,Familienpolitische Teilzeit,
männlich,100,10123,E11,2. QE,3.0,,Elternzeit
männlich,100,10124,A11,4. QE,,,
männlich,100,10125,ANG F,2. QE,,,
weiblich,100,10126,A12,2. QE,,,
weiblich,100,10127,A14,3. QE,,,
männlich,100,10128,PGRP,3. QE,,,
männlich,100,10129,E2,4. QE,3.0,,
weiblich,80,10130,A12,1. QE,,Antragsteilzeit,
männlich,100,10131,E13,4. QE,,,
weiblich,90,10132,E11,4. QE,,Vertragliche Teilzeit,
männlich,100,10133,B3,2. QE,,,
männlich,50,10134,A9+AZ,3. QE,2.0,Antragsteilzeit,
weiblich,90,10135,A7,1. QE,,Antragsteilzeit,
weiblich,60,10136,E14,3. QE,1.0,Vertragliche Teilzeit,
weiblich,100,10137,A9+AZ,3. QE,1.0,,
männlich,100,10138,A8,3. QE,,,
männlich,100,10139,A13,1. QE,,,Elternzeit
weiblich,60,10140,E5,3. QE,,Antragsteilzeit,
männlich,100,10141,R2,2. QE,2.0,,
männlich,60,10142,E2,4. QE,,Vertragliche Teilzeit,
männlich,100,10143,E6,1. QE,,,
weiblich,60,10144,A11,4. QE,,Vertragliche Teilzeit,
weiblich,30,10145,E2,4. QE,,Antragsteilzeit,
männlich,50,10146,A6,3. QE,,Antragsteilzeit,
männlich,40,10147,A12,4. QE,,Antragsteilzeit,Elternzeit
weiblich,80,10148,E12,1. QE,,Vertragliche Teilzeit,
weiblich,100,10149,E13,3. QE,,,
männlich,100,10150,E15,2. QE,,,
männlich,100,10151,A15,4. QE,,,
männlich,100,10152,ANG F,2. QE,,,
weiblich,80,10153,A10,4. QE,,Vertragliche Teilzeit,
männlich,50,10154,A15,4. QE,,Altersteilzeit,
weiblich,100,10155,A14,4. QE,,,
männlich,100,10156,BES F,3. QE,,,
weiblich,40,10157,A6,4. QE,,Antragsteilzeit,
männlich,100,10158,PGR4,1. QE,1.0,,
männlich,100,10159,E2,1. QE,,,
männlich,100,10160,E7,3. QE,1.0,,Elternzeit
männlich,90,10161,A12,4. QE,,Vertragliche Teilzeit,
männlich,100,10162,A16,3. QE,,,
weiblich,100,10163,A7,2. QE,,,
männlich,100,10164,E7,1. QE,2.0,,
männlich,20,10165,A11,2. QE,,Familienpolitische Teilzeit,
weiblich,40,10166,A4,1. QE,3.0,Altersteilzeit,
weiblich,40,10167,E11,4. QE,2.0,Altersteilzeit,
männlich,100,10168,A9,3. QE,,,
weiblich,70,10169,A9+AZ,1. QE,2.0,Familienpolitische Teilzeit,
männlich,100,10170,E2,2. QE,,,
weiblich,70,10171,A12,3. QE,,Altersteilzeit,
weiblich,60,10172,A15,1. QE,,Vertragliche Teilzeit,
weiblich,100,10173,A10,2. QE,3.0,,
weiblich,100,10174,E13,4. QE,,,
weiblich,100,10175,A4,3. QE,,,
männlich,100,10176,A9,2. QE,,,
weiblich,40,10177,A10,4. QE,,Altersteilzeit,
männlich,100,10178,PGR4,4. QE,2.0,,
weiblich,80,10179,A15,1. QE,3.0,Antragsteilzeit,
männlich,100,10180,E6,1. QE,,,
weiblich,100,10181,B3,2. QE,,,
weiblich,80,10182,E7,1. QE,,Familienpolitische Teilzeit,
weiblich,60,10183,E14,3. QE,2.0,Antragsteilzeit,Elternzeit
männlich,20,10184,A8,3. QE,,Familienpolitische Teilzeit,
männlich,100,10185,A16,3. QE,3.0,,
weiblich,20,10186,A13,4. QE,,Familienpolitische Teilzeit,
weiblich,90,10187,A8,1. QE,,Altersteilzeit,
männlich,100,10188,A14,1. QE,,,
männlich,100,10189,E10,1. QE,,,
männlich,100,10190,E7,2. QE,,,
weiblich,100,10191,A12,4. QE,,,
männlich,50,10192,A9+AZ,2. QE,,Antragsteilzeit,
männlich,100,10193,ANG F,1. QE,,,
weiblich,100,10194,A15,3. QE,,,
weiblich,80,10195,A6,3. QE,,Antragsteilzeit,
weiblich,20,10196,A9,3. QE,,Altersteilzeit,
weiblich,90,10197,A4,3. QE,,Antragsteilzeit,
weiblich,70,10198,A9,1. QE,,Antragsteilzeit,
männlich,70,10199,A4,1. QE,,Vertragliche Teilzeit,
weiblich,40,10200,A16,4. QE,,Antragsteilzeit,
männlich,100,10201,B9,1. QE,,,
männlich,100,10202,E13,4. QE,2.0,,
weiblich,50,10203,E9B,4. QE,,Familienpolitische Teilzeit,
männlich,100,10204,PGRPUE,3. QE,1.0,,
männlich,100,10205,A9,2. QE,,,Elternzeit
männlich,100,10206,E2,3. QE,,,Elternzeit
männlich,80,10207,E5,1. QE,,Antragsteilzeit,
männlich,80,10208,E13,4. QE,,Antragsteilzeit,
männlich,100,10209,E10,1. QE,,,
männlich,100,10210,A9+AZ,1. QE,,,
weiblich,90,10211,A6,3. QE,,Antragsteilzeit,
männlich,90,10212,E2,4. QE,,Vertragliche Teilzeit,
männlich,100,10213,E8,3. QE,2.0,,
männlich,100,10214,B3,4. QE,,,
männlich,100,10215,E13,2. QE,1.0,,
männlich,100,10216,A14,1. QE,3.0,,
weiblich,70,10217,E8,3. QE,2.0,Familienpolitische Teilzeit,
männlich,60,10218,E9A,3. QE,,Antragsteilzeit,
männlich,100,10219,B9,1. QE,,,
männlich,100,10220,E10,2. QE,,,
männlich,100,10221,ANG F,2. QE,2.0,,
weiblich,30,10222,A9+AZ,4. QE,,Vertragliche Teilzeit,
männlich,100,10223,E5,1. QE,,,
weiblich,100,10224,E13,2. QE,3.0,,
weiblich,70,10225,A13,3. QE,,Altersteilzeit,
weiblich,20,10226,E8,2. QE,,Altersteilzeit,Elternzeit
weiblich,30,10227,E7,4. QE,1.0,Altersteilzeit,Elternzeit
männlich,100,10228,A12,1. QE,3.0,,
männlich,100,10229,E14,1. QE,3.0,,
weiblich,50,10230,E7,4. QE,,Antragsteilzeit,
männlich,100,10231,A8,4. QE,,,
männlich,100,10232,E9A,1. QE,,,
weiblich,60,10233,E15,1. QE,3.0,Altersteilzeit,
männlich,100,10234,E13,1. QE,,,
weiblich,60,10235,E5,4. QE,,Antragsteilzeit,
männlich,100,10236,B3,1. QE,,,
weiblich,100,10237,E9B,1. QE,2.0,,
weiblich,70,10238,A9+AZ,3. QE,,Altersteilzeit,
weiblich,60,10239,ANG F,4. QE,,Familienpolitische Teilzeit,
männlich,100,10240,E11,2. QE,2.0,,
weiblich,70,10241,E7,3. QE,,Antragsteilzeit,
männlich,100,10242,PGR4,1. QE,2.0,,
weiblich,100,10243,A14,4. QE,,,Elternzeit
weiblich,100,10244,E5,2. QE,,,
männlich,100,10245,E6,3. QE,1.0,,
männlich,100,10246,R1,3. QE,,,
weiblich,60,10247,A8,3. QE,1.0,Antragsteilzeit,
männlich,100,10248,E6,1. QE,,,
männlich,100,10249,A14,1. QE,,,
weiblich,20,10250,E10,3. QE,1.0,Familienpolitische Teilzeit,
weiblich,100,10251,A7,4. QE,,,
männlich,100,10252,A6,1. QE,,,
weiblich,30,10253,A16,4. QE,3.0,Familienpolitische Teilzeit,
männlich,100,10254,E8,2. QE,2.0,,
weiblich,100,10255,E12,4. QE,,,
männlich,100,10256,E2,1. QE,,,
weiblich,40,10257,PGR4UE,1. QE,3.0,Familienpolitische Teilzeit,
weiblich,100,10258,E14,4. QE,,,
weiblich,100,10259,E8,4. QE,,,
männlich,100,10260,A16,2. QE,1.0,,
weiblich,100,10261,A7,3. QE,,,
weiblich,100,10262,ANG F,2. QE,2.0,,
weiblich,80,10263,A9,2. QE,1.0,Vertragliche Teilzeit,
weiblich,100,10264,A4,4. QE,,,
weiblich,100,10265,A4,2. QE,,,
männlich,100,10266,A12,4. QE,,,
weiblich,100,10267,A15,1. QE,,,
weiblich,20,10268,ANG F,1. QE,,Vertragliche Teilzeit,
männlich,100,10269,E15,4. QE,3.0,,Elternzeit
männlich,100,10270,A13,3. QE,,,
weiblich,50,10271,E6,4. QE,,Altersteilzeit,Elternzeit
weiblich,60,10272,A8,4. QE,,Altersteilzeit,
männlich,100,10273,E12,1. QE,,,
männlich,100,10274,E6,2. QE,3.0,,
weiblich,100,10275,E13,2. QE,,,
männlich,100,10276,A10,3. QE,,,
weiblich,90,10277,A15,1. QE,,Familienpolitische Teilzeit,
weiblich,90,10278,E4,2. QE,1.0,Vertragliche Teilzeit,
männlich,100,10279,R1,1. QE,,,
weiblich,90,10280,E6,4. QE,,Familienpolitische Teilzeit,
weiblich,100,10281,E6,4. QE,,,
weiblich,100,10282,A16,1. QE,3.0,,
weiblich,80,10283,E9A,2. QE,2.0,Antragsteilzeit,
weiblich,100,10284,ANG F,1. QE,1.0,,
weiblich,100,10285,A12,1. QE,3.0,,
weiblich,90,10286,E7,3. QE,1.0,Vertragliche Teilzeit,
männlich,20,10287,A15,3. QE,1.0,Vertragliche Teilzeit,
weiblich,20,10288,E11,3. QE,3.0,Familienpolitische Teilzeit,
weiblich,100,10289,A9,2. QE,,,
männlich,70,10290,A14,4. QE,,Altersteilzeit,
weiblich,100,10291,A16,3. QE,,,Elternzeit
männlich,100,10292,A15,2. QE,,,
weiblich,100,10293,A9+AZ,2. QE,,,
weiblich,40,10294,A13,2. QE,2.0,Antragsteilzeit,
weiblich,60,10295,A11,2. QE,3.0,Familienpolitische Teilzeit,
weiblich,90,10296,A13,1. QE,,Antragsteilzeit,
männlich,100,10297,E10,2. QE,,,
weiblich,100,10298,E2,2. QE,1.0,,
weiblich,60,10299,ANG F,3. QE,1.0,Antragsteilzeit,
weiblich,80,10300,A16,1. QE,,Antragsteilzeit,
weiblich,100,10301,A4,1. QE,,,Elternzeit
männlich,100,10302,ANG F,3. QE,1.0,,
männlich,100,10303,A15,1. QE,1.0,,
weiblich,100,10304,E10,4. QE,,,
männlich,100,10305,B6,1. QE,2.0,,
weiblich,100,10306,E13,1. QE,,,
weiblich,100,10307,E15,3. QE,,,Elternzeit
männlich,100,10308,A12,3. QE,,,
männlich,100,10309,A11,4. QE,2.0,,
weiblich,90,10310,A9+AZ,3. QE,,Altersteilzeit,
